symbol,trade_id,entry_time,exit_time,duration_days,entry_price,exit_price,stop_loss,sl_distance_pct,atr_at_entry,direction,exit_reason,gross_return_pct,net_return_pct,is_win,m_ready,m_direction,m_compressed,m_mba_low,m_mba_high,m_continuity,w_ready,w_direction,w_compressed,w_mba_low,w_mba_high,w_continuity,d_ready,d_direction,d_compressed,d_mba_low,d_mba_high,d_continuity,alignment_summary,equity_before,equity_after,btc_regime
USDJPYm,4,2025-07-29,2025-08-26,28,148.422,147.469,144.62185714,2.56,1.26671429,bullish,direction_flip,-0.6421,-0.6521,False,True,bullish,True,144.2,151.0,1,True,bullish,True,145.9,148.7,1,True,bullish,True,147.5,148.65,1,[V3:balance_aligned] READY (BULLISH),0.917993,0.912007,
USDJPYm,5,2025-08-28,2025-09-30,33,146.828,148.021,150.18628571,2.29,1.11942857,bearish,direction_flip,-0.8125,-0.8225,False,True,bearish,True,146.2,148.8,2,True,bearish,True,146.6,148.8,2,True,bearish,True,147.4,147.95,1,[V3:balance_aligned] READY (BEARISH),0.912007,0.904506,
AUDUSDm,1,2021-08-05,2021-08-31,26,0.74022,0.7317,0.75743786,2.33,0.00573929,bearish,direction_flip,1.151,1.141,True,True,bearish,True,0.729,0.76,1,True,bearish,True,0.7315,0.7415,2,True,bearish,True,0.7388,0.7422,1,[V3:balance_aligned] READY (BEARISH),1.0,1.01141,
AUDUSDm,2,2022-02-21,2022-05-31,99,0.71833,0.71819,0.73768,2.69,0.00645,bearish,direction_flip,0.0195,0.0095,True,True,bearish,True,0.697,0.731,2,True,bearish,True,0.7085,0.7225,1,True,bearish,True,0.7165,0.7228,1,[V3:balance_aligned] READY (BEARISH),1.01141,1.011506,
AUDUSDm,3,2022-12-27,2023-04-25,119,0.67281,0.66356,0.645705,4.03,0.009035,bullish,direction_flip,-1.3748,-1.3848,False,True,bullish,True,0.663,0.689,2,True,bullish,True,0.663,0.6765,1,True,bullish,True,0.668,0.6775,1,[V3:balance_aligned] READY (BULLISH),1.011506,0.997498,
AUDUSDm,4,2023-08-07,2023-08-29,22,0.65716,0.64753,0.68018286,3.5,0.00767429,bearish,direction_flip,1.4654,1.4554,True,True,bearish,True,0.652,0.69,2,True,bearish,True,0.651,0.674,1,True,bearish,True,0.6552,0.6588,1,[V3:balance_aligned] READY (BEARISH),0.997498,1.012016,
AUDUSDm,5,2024-04-01,2024-04-30,29,0.64866,0.64741,0.66322929,2.25,0.00485643,bearish,direction_flip,0.1927,0.1827,True,True,bearish,True,0.651,0.662,1,True,bearish,True,0.6485,0.6558,2,True,bearish,True,0.6498,0.6528,1,[V3:balance_aligned] READY (BEARISH),1.012016,1.013865,
AUDUSDm,6,2024-05-09,2025-02-25,292,0.66159,0.63508,0.644265,2.62,0.005775,bullish,direction_flip,-4.007,-4.017,False,True,bullish,True,0.645,0.659,1,True,bullish,True,0.6505,0.6575,1,True,bullish,True,0.6558,0.6593,1,[V3:balance_aligned] READY (BULLISH),1.013865,0.973138,
AUDUSDm,7,2025-04-03,2025-07-01,89,0.63255,0.6579,0.65190429,3.06,0.00645143,bearish,direction_flip,-4.0076,-4.0176,False,True,bearish,True,0.625,0.638,2,True,bearish,True,0.6258,0.633,2,True,bearish,True,0.6225,0.634,1,[V3:balance_aligned] READY (BEARISH),0.973138,0.934041,
AUDUSDm,8,2025-09-11,2025-09-30,19,0.66649,0.66103,0.65211357,2.16,0.00479214,bullish,direction_flip,-0.8192,-0.8292,False,True,bullish,True,0.6415,0.657,3,True,bullish,True,0.6485,0.659,1,True,bullish,True,0.658,0.6635,1,[V3:balance_aligned] READY (BULLISH),0.934041,0.926296,
USDCADm,1,2021-08-13,2021-08-31,18,1.25144,1.26156,1.23154143,1.59,0.00663286,bullish,direction_flip,0.8087,0.7987,True,True,bullish,True,1.23,1.28,1,True,bullish,True,1.2495,1.2555,1,True,bullish,True,1.2495,1.2532,1,[V3:balance_aligned] READY (BULLISH),1.0,1.007987,
USDCADm,2,2023-08-21,2024-04-30,253,1.35453,1.37768,1.33454571,1.48,0.00666143,bullish,direction_flip,1.7091,1.6991,True,True,bullish,True,1.315,1.33,2,True,bullish,True,1.343,1.3575,1,True,bullish,True,1.3522,1.3575,1,[V3:balance_aligned] READY (BULLISH),1.007987,1.025113,
USDCADm,3,2024-05-09,2024-10-01,145,1.3677,1.34944,1.38861214,1.53,0.00697071,bearish,direction_flip,1.3351,1.3251,True,True,bearish,True,1.348,1.384,1,True,bearish,True,1.3635,1.373,1,True,bearish,True,1.372,1.375,1,[V3:balance_aligned] READY (BEARISH),1.025113,1.038697,
USDCADm,4,2024-10-07,2024-11-26,50,1.362,1.40519,1.341975,1.47,0.006675,bullish,direction_flip,3.1711,3.1611,True,True,bullish,True,1.342,1.365,2,True,bullish,True,1.347,1.359,1,True,bullish,True,1.3545,1.359,1,[V3:balance_aligned] READY (BULLISH),1.038697,1.071531,
USDCADm,5,2024-11-28,2025-01-28,61,1.40073,1.44021,1.42456071,1.7,0.00794357,bearish,direction_flip,-2.8185,-2.8285,False,True,bearish,True,1.382,1.418,1,True,bearish,True,1.393,1.41,2,True,bearish,True,1.4007,1.4078,1,[V3:balance_aligned] READY (BEARISH),1.071531,1.041222,
USDCADm,6,2025-07-11,2025-07-29,18,1.36901,1.37741,1.391195,1.62,0.007395,bearish,direction_flip,-0.6136,-0.6236,False,True,bearish,True,1.354,1.38,1,True,bearish,True,1.3555,1.37,1,True,bearish,True,1.365,1.3708,1,[V3:balance_aligned] READY (BEARISH),1.041222,1.034729,
USDCADm,7,2025-08-19,2026-02-23,188,1.38661,1.36488,1.37060929,1.15,0.00533357,bullish,end_of_backtest,-1.5671,-1.5771,False,True,bullish,True,1.358,1.388,2,True,bullish,True,1.3753,1.3798,1,True,bullish,True,1.3782,1.383,2,[V3:balance_aligned] READY (BULLISH),1.034729,1.01841,
USDCHFm,1,2021-09-03,2021-09-28,25,0.91385,0.92916,0.92994071,1.76,0.00536357,bearish,direction_flip,-1.6753,-1.6853,False,True,bearish,True,0.902,0.924,3,True,bearish,True,0.91,0.9205,1,True,bearish,True,0.9145,0.9175,1,[V3:balance_aligned] READY (BEARISH),1.0,0.983147,
